No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
172,TRV,"The Travelers Companies, Inc.",48.88B,214.02,0.10%,40.07B
173,CPRT,"Copart, Inc.",48.75B,50.77,-0.38%,4.00B
174,VLO,Valero Energy Corporation,48.44B,142.27,0.33%,151.10B
175,APD,"Air Products and Chemicals, Inc.",48.34B,217.40,-1.14%,12.42B
176,AIG,"American International Group, Inc.",48.34B,68.88,0.68%,48.56B
177,WELL,Welltower Inc.,48.10B,86.92,-0.07%,6.41B
178,DHI,"D.R. Horton, Inc.",47.72B,143.84,-0.51%,35.93B
179,TFC,Truist Financial Corporation,47.71B,35.78,0.75%,21.90B
180,GWW,"W.W. Grainger, Inc.",47.49B,956.20,0.86%,16.48B
181,ODFL,"Old Dominion Freight Line, Inc.",47.33B,433.74,-0.33%,5.87B
182,SPG,"Simon Property Group, Inc.",47.31B,145.00,0.62%,5.66B
183,DXCM,"DexCom, Inc.",47.25B,122.38,-3.68%,3.62B
184,IDXX,"IDEXX Laboratories, Inc.",47.16B,567.68,-1.03%,3.66B
185,CHTR,"Charter Communications, Inc.",46.83B,288.50,2.09%,54.61B
186,CCI,Crown Castle Inc.,46.69B,107.59,0.08%,6.98B
187,MSCI,MSCI Inc.,46.62B,589.49,0.68%,2.42B
188,AZO,"AutoZone, Inc.",46.46B,"2,690.20",-1.52%,17.66B
189,MCHP,Microchip Technology Incorporated,46.30B,85.67,1.56%,8.54B
190,COR,Cencora,45.77B,229.46,-0.37%,271.58B
191,NUE,Nucor Corporation,45.74B,186.13,-0.09%,34.71B
192,AFL,Aflac Incorporated,45.60B,78.03,-0.11%,18.93B
193,HUM,Humana Inc.,45.47B,369.47,0.45%,102.35B
194,GM,General Motors Company,44.56B,38.60,-0.14%,171.84B
195,STZ,"Constellation Brands, Inc.",44.50B,243.53,0.20%,9.82B
196,DLR,"Digital Realty Trust, Inc.",44.18B,145.90,-0.79%,5.34B
197,TEL,TE Connectivity Ltd.,44.17B,143.11,-,16.02B
198,HES,Hess Corporation,44.17B,143.79,-1.70%,10.66B
199,KHC,The Kraft Heinz Company,44.14B,35.99,-1.32%,27.16B
200,PAYX,"Paychex, Inc.",44.04B,122.37,-0.31%,5.15B
201,O,Realty Income Corporation,43.81B,52.47,-1.31%,3.89B
202,SRE,Sempra,43.72B,69.44,-0.57%,16.68B
203,URI,"United Rentals, Inc.",43.58B,648.63,0.25%,14.33B
204,KDP,Keurig Dr Pepper Inc.,43.46B,31.07,-1.33%,14.75B
205,LEN,Lennar Corporation,42.46B,152.49,-0.52%,34.23B
206,BK,The Bank of New York Mellon Corporation,42.36B,55.08,-0.05%,17.11B
207,CEG,Constellation Energy Corporation,42.07B,131.82,0.84%,26.46B
208,ALL,The Allstate Corporation,41.91B,160.13,-1.00%,55.91B
